indic_ur,cities\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CR1015V,BE001L2	: 	: 	: 	: 	: 	: 	: 	46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE002L2	: 	: 	: 	: 	: 	: 	: 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE003L2	: 	: 	: 	: 	: 	: 	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE004L2	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE005L2	: 	: 	: 	: 	: 	: 	: 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE006L2	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE007L2	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE008L1	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE009L1	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE010L1	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BE011L1	: 	: 	: 	: 	: 	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG001L2	: 	: 	: 	: 	: 	: 	: 	131 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG002L2	: 	: 	: 	: 	: 	: 	: 	48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG003L2	: 	: 	: 	: 	: 	: 	: 	101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG004L2	: 	: 	: 	: 	: 	: 	: 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG005L1	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	12 	: 	: 	: 	9 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG006L2	: 	: 	: 	: 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG007L2	: 	: 	: 	: 	: 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG008L2	: 	: 	: 	: 	: 	: 	: 	12 	: 	: 	18 	: 	: 	: 	10 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG009L1	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG010L1	: 	: 	: 	: 	: 	: 	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG011L1	: 	: 	: 	: 	: 	: 	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG013L1	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG014L1	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1015V,BG015L1	: 	: 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
